Date,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12
20100713,1,1,1,1,1,1,1,1,1,1,1,1
20100714,1,1,1,1,1,1,1,1,1,1,1,1
20100715,1,1,1,1,1,1,1,1,1,1,1,1
20100716,1,1,1,1,1,1,1,1,1,1,1,1
20100718,1,1,1,1,1,1,1,1,1,1,1,1
20100719,1,1,1,1,1,1,1,1,1,1,1,1
20100721,1,1,1,1,1,1,1,1,1,1,1,1
20100722,1,1,1,1,1,1,1,1,1,1,1,1
20100723,1,1,1,1,1,1,1,1,1,1,1,1
20100725,1,1,1,1,1,1,1,1,1,1,1,1
20100726,1,1,1,1,1,1,1,1,1,1,1,1
20100727,1,1,1,1,1,1,1,1,1,1,1,1
20100728,1,1,1,1,1,1,1,1,1,1,1,1
20100730,1,1,1,1,1,1,1,1,1,1,1,1
20100731,1,1,1,1,1,1,1,1,1,1,1,1
20100802,1,1,1,1,1,1,1,1,1,1,1,1
20100803,1,1,1,1,1,1,1,1,1,1,1,1
20100804,1,1,1,1,1,1,1,1,1,1,1,1
20100805,1,1,1,1,1,1,1,1,1,1,1,1
20100806,1,1,1,1,1,1,1,1,1,1,1,1
20100807,1,1,1,1,1,1,1,1,1,1,1,1
20100808,1,1,1,1,1,1,1,1,1,1,1,1
20100809,1,1,1,1,1,1,1,1,1,1,1,1
20110120,1,1,1,1,1,1,1,1,1,1,1,1
20110121,1,1,1,1,1,1,1,1,1,1,1,1
20110122,1,1,1,1,1,1,1,1,1,1,1,1
20110123,1,1,1,1,1,1,1,1,1,1,1,1
20110124,1,1,1,1,1,1,1,1,1,1,1,1
20110125,1,1,1,1,1,1,1,1,1,1,1,1
20110126,1,1,1,1,1,1,1,1,1,1,1,1
20110128,1,1,1,1,1,1,1,1,1,1,1,1
20110129,1,1,1,1,1,1,1,1,1,1,1,1
20110130,1,1,1,1,1,1,1,1,1,1,1,1
20110131,1,1,1,1,1,1,1,1,1,1,1,1
20110201,1,1,1,1,1,1,1,1,1,1,1,1
20110202,1,1,1,1,1,1,1,1,1,1,1,1
20110203,1,1,1,1,1,1,1,1,1,1,1,1
20110204,1,1,1,1,1,1,1,1,1,1,1,1
20110205,1,1,1,1,1,1,1,1,1,1,1,1
20110206,1,1,1,1,1,1,1,1,1,1,1,1
20110207,1,1,1,1,1,1,1,1,1,1,1,1
20110208,1,1,1,1,1,1,1,1,1,1,1,1
20110209,1,1,1,1,1,1,1,1,1,1,1,1
20110210,1,1,1,1,1,1,1,1,1,1,1,1
20110211,1,1,1,1,1,1,1,1,1,1,1,1
20110212,1,1,1,1,1,1,1,1,1,1,1,1
20110213,1,1,1,1,1,1,1,1,1,1,1,1
20110214,1,1,1,1,1,1,1,1,1,1,1,1
20110215,1,1,1,1,1,1,1,1,1,1,1,1
20110216,1,1,1,1,1,1,1,1,1,1,1,1
