,Date,model,class
445,20110212,model9,0
455,20100719,model10,0
147,20110214,model3,0
590,20110207,model12,0
295,20110212,model6,0
49,20110216,model1,0
555,20100719,model12,0
156,20100721,model4,0
64,20100731,model2,0
201,20100714,model5,0
556,20100721,model12,0
43,20110210,model1,0
478,20110125,model10,0
133,20110131,model3,0
46,20110213,model1,0
492,20110209,model10,0
202,20100715,model5,0
150,20100713,model4,0
153,20100716,model4,0
524,20110121,model11,0
97,20110214,model2,0
273,20110120,model6,0
252,20100715,model6,0
1,20100714,model1,0
400,20100713,model9,0
395,20110212,model8,0
33,20110131,model1,0
438,20110205,model9,0
343,20110210,model7,0
433,20110131,model9,0
541,20110208,model11,0
51,20100714,model2,0
233,20110131,model5,0
579,20110126,model12,0
55,20100719,model2,0
191,20110208,model4,0
290,20110207,model6,0
592,20110209,model12,0
443,20110210,model9,0
79,20110126,model2,0
305,20100719,model7,0
444,20110211,model9,0
244,20110211,model5,0
390,20110207,model8,0
364,20100731,model8,0
324,20110121,model7,0
373,20110120,model8,0
41,20110208,model1,0
498,20110215,model10,0
255,20100719,model6,0
3,20100716,model1,0
329,20110126,model7,0
195,20110212,model4,0
398,20110215,model8,0
340,20110207,model7,0
450,20100713,model10,0
452,20100715,model10,0
383,20110131,model8,0
199,20110216,model4,0
101,20100714,model3,0
246,20110213,model5,0
52,20100715,model2,0
129,20110126,model3,0
264,20100731,model6,0
188,20110205,model4,0
224,20110121,model5,0
345,20110212,model7,0
242,20110209,model5,0
547,20110214,model11,0
442,20110209,model9,0
405,20100719,model9,0
178,20110125,model4,0
128,20110125,model3,0
552,20100715,model12,0
146,20110213,model3,0
241,20110208,model5,0
288,20110205,model6,0
103,20100716,model3,0
183,20110131,model4,0
597,20110214,model12,0
5,20100719,model1,0
294,20110211,model6,0
328,20110125,model7,0
229,20110126,model5,0
374,20110121,model8,0
190,20110207,model4,0
397,20110214,model8,0
591,20110208,model12,0
144,20110211,model3,0
403,20100716,model9,0
238,20110205,model5,0
96,20110213,model2,0
456,20100721,model10,0
274,20110121,model6,0
346,20110213,model7,0
148,20110215,model3,0
228,20110125,model5,0
474,20110121,model10,0
296,20110213,model6,0
192,20110209,model4,0
338,20110205,model7,0
194,20110211,model4,0
423,20110120,model9,0
349,20110216,model7,0
149,20110216,model3,0
48,20110215,model1,0
78,20110125,model2,0
353,20100716,model8,0
299,20110216,model6,0
429,20110126,model9,0
106,20100721,model3,0
94,20110211,model2,0
93,20110210,model2,0
141,20110208,model3,0
243,20110210,model5,0
554,20100718,model12,0
88,20110205,model2,0
544,20110211,model11,0
392,20110209,model8,0
499,20110216,model10,0
401,20100714,model9,0
538,20110205,model11,0
245,20110212,model5,0
44,20110211,model1,0
143,20110210,model3,0
529,20110126,model11,0
594,20110211,model12,0
574,20110121,model12,0
341,20110208,model7,0
494,20110211,model10,0
388,20110205,model8,0
491,20110208,model10,0
6,20100721,model1,0
28,20110125,model1,0
428,20110125,model9,0
152,20100715,model4,0
449,20110216,model9,0
293,20110210,model6,0
424,20110121,model9,0
203,20100716,model5,0
396,20110213,model8,0
179,20110126,model4,0
38,20110205,model1,0
200,20100713,model5,0
533,20110131,model11,0
250,20100713,model6,0
393,20110210,model8,0
155,20100719,model4,0
490,20110207,model10,0
342,20110209,model7,0
344,20110211,model7,0
98,20110215,model2,0
302,20100715,model7,0
151,20100714,model4,0
114,20100731,model3,0
440,20110207,model9,0
90,20110207,model2,0
578,20110125,model12,0
502,20100715,model11,0
448,20110215,model9,0
441,20110208,model9,0
23,20110120,model1,0
0,20100713,model1,0
551,20100714,model12,0
505,20100719,model11,0
100,20100713,model3,0
74,20110121,model2,0
206,20100721,model5,0
446,20110213,model9,0
29,20110126,model1,0
40,20110207,model1,0
50,20100713,model2,0
350,20100713,model8,0
333,20110131,model7,0
53,20100716,model2,0
2,20100715,model1,0
402,20100715,model9,0
301,20100714,model7,0
352,20100715,model8,0
56,20100721,model2,0
47,20110214,model1,0
83,20110131,model2,0
548,20110215,model11,0
174,20110121,model4,0
332,20110130,model7,1
469,20100806,model10,1
209,20100725,model5,1
123,20110120,model3,1
275,20110122,model6,1
86,20110203,model2,1
322,20100809,model7,1
566,20100803,model12,1
417,20100804,model9,1
569,20100806,model12,1
370,20100807,model8,1
173,20110120,model4,1
308,20100723,model7,1
310,20100726,model7,1
39,20110206,model1,1
218,20100805,model5,1
530,20110128,model11,1
459,20100725,model10,1
519,20100806,model11,1
508,20100723,model11,1
208,20100723,model5,1
160,20100726,model4,1
204,20100718,model5,1
163,20100730,model4,1
387,20110204,model8,1
408,20100723,model9,1
170,20100807,model4,1
217,20100804,model5,1
76,20110123,model2,1
212,20100728,model5,1
467,20100804,model10,1
426,20110123,model9,1
531,20110129,model11,1
362,20100728,model8,1
135,20110202,model3,1
489,20110206,model10,1
186,20110203,model4,1
266,20100803,model6,1
210,20100726,model5,1
269,20100806,model6,1
386,20110203,model8,1
66,20100803,model2,1
289,20110206,model6,1
460,20100726,model10,1
576,20110123,model12,1
466,20100803,model10,1
134,20110201,model3,1
177,20110124,model4,1
107,20100722,model3,1
557,20100722,model12,1
432,20110130,model9,1
70,20100807,model2,1
87,20110204,model2,1
337,20110204,model7,1
73,20110120,model2,1
60,20100726,model2,1
119,20100806,model3,1
413,20100730,model9,1
237,20110204,model5,1
226,20110123,model5,1
211,20100727,model5,1
285,20110202,model6,1
158,20100723,model4,1
126,20110123,model3,1
258,20100723,model6,1
67,20100804,model2,1
371,20100808,model8,1
277,20110124,model6,1
227,20110124,model5,1
108,20100723,model3,1
161,20100727,model4,1
111,20100727,model3,1
589,20110206,model12,1
407,20100722,model9,1
366,20100803,model8,1
509,20100725,model11,1
263,20100730,model6,1
327,20110124,model7,1
257,20100722,model6,1
54,20100718,model2,1
307,20100722,model7,1
389,20110206,model8,1
313,20100730,model7,1
162,20100728,model4,1
481,20110129,model10,1
19,20100806,model1,1
457,20100722,model10,1
12,20100728,model1,1
13,20100730,model1,1
231,20110129,model5,1
377,20110124,model8,1
172,20100809,model4,1
580,20110128,model12,1
360,20100726,model8,1
185,20110202,model4,1
475,20110122,model10,1
317,20100804,model7,1
516,20100803,model11,1
315,20100802,model7,1
180,20110128,model4,1
34,20110201,model1,1
534,20110201,model11,1
326,20110123,model7,1
420,20100807,model9,1
385,20110202,model8,1
82,20110130,model2,1
537,20110204,model11,1
81,20110129,model2,1
419,20100806,model9,1
558,20100723,model12,1
410,20100726,model9,1
381,20110129,model8,1
468,20100805,model10,1
127,20110124,model3,1
311,20100727,model7,1
139,20110206,model3,1
80,20110128,model2,1
234,20110201,model5,1
564,20100731,model12,1
535,20110202,model11,1
582,20110130,model12,1
561,20100727,model12,1
464,20100731,model10,1
487,20110204,model10,1
69,20100806,model2,1
25,20110122,model1,1
222,20100809,model5,1
379,20110126,model8,1
159,20100725,model4,1
171,20100808,model4,1
27,20110124,model1,1
510,20100726,model11,1
77,20110124,model2,1
422,20100809,model9,1
572,20100809,model12,1
458,20100723,model10,1
32,20110130,model1,1
61,20100727,model2,1
320,20100807,model7,1
573,20110120,model12,1
10,20100726,model1,1
215,20100802,model5,1
368,20100805,model8,1
21,20100808,model1,1
85,20110202,model2,1
527,20110124,model11,1
526,20110123,model11,1
461,20100727,model10,1
363,20100730,model8,1
118,20100805,model3,1
570,20100807,model12,1
130,20110128,model3,1
58,20100723,model2,1
267,20100804,model6,1
486,20110203,model10,1
260,20100726,model6,1
585,20110202,model12,1
287,20110204,model6,1
361,20100727,model8,1
367,20100804,model8,1
225,20110122,model5,1
110,20100726,model3,1
282,20110130,model6,1
477,20110124,model10,1
71,20100808,model2,1
261,20100727,model6,1
109,20100725,model3,1
479,20110126,model10,1
365,20100802,model8,1
563,20100730,model12,1
525,20110122,model11,1
11,20100727,model1,1
334,20110201,model7,1
187,20110204,model4,1
511,20100727,model11,1
314,20100731,model7,1
484,20110201,model10,1
84,20110201,model2,1
412,20100728,model9,1
230,20110128,model5,1
286,20110203,model6,1
584,20110201,model12,1
115,20100802,model3,1
512,20100728,model11,1
384,20110201,model8,1
232,20110130,model5,1
427,20110124,model9,1
518,20100805,model11,1
562,20100728,model12,1
281,20110129,model6,1
480,20110128,model10,1
586,20110203,model12,1
539,20110206,model11,1
568,20100805,model12,1
235,20110202,model5,1
376,20110123,model8,1
581,20110129,model12,1
36,20110203,model1,1
567,20100804,model12,1
436,20110203,model9,1
216,20100803,model5,1
514,20100731,model11,1
471,20100808,model10,1
120,20100807,model3,1
462,20100728,model10,1
522,20100809,model11,1
117,20100804,model3,1
463,20100730,model10,1
213,20100730,model5,1
270,20100807,model6,1
181,20110129,model4,1
116,20100803,model3,1
175,20110122,model4,1
425,20110122,model9,1
168,20100805,model4,1
565,20100802,model12,1
220,20100807,model5,1
65,20100802,model2,1
18,20100805,model1,1
131,20110129,model3,1
184,20110201,model4,1
219,20100806,model5,1
68,20100805,model2,1
121,20100808,model3,1
169,20100806,model4,1
431,20110129,model9,1
62,20100728,model2,1
577,20110124,model12,1
325,20110122,model7,1
434,20110201,model9,1
507,20100722,model11,1
421,20100808,model9,1
318,20100805,model7,1
435,20110202,model9,1
372,20100809,model8,1
